player_id,name,ranking,weight,position,height,country_code,birthdate,team_id
p100155,Manuel Antunes,,,Middle-blocker,189.0,PT,8/27/2004,t5144
p100156,Gonçalo Ferreira,,,Opposite,184.0,PT,5/13/2004,t5144
p100157,Pedro Osório,,,Middle-blocker,196.0,PT,4/22/2004,t5144
p100158,Gabriel Carmo,,,Opposite,183.0,PT,4/7/2004,t20602
p100159,Rodrigo Ramalho,,,Libero,179.0,PT,1/25/2004,t5144
p10016,Tomasz Płaza,,,Middle-blocker,199.0,PL,1/1/1982,
p100160,Tiago Fortunato,,,Libero,172.0,PT,11/16/2004,t5144
p100161,Tiago Raposo,,,Setter,176.0,PT,6/2/2004,t5144
p100162,Diogo Trino,,,Middle-blocker,178.0,PT,3/29/2004,t5144
p100169,Filip Nedić,,89.0,Opposite,196.0,BA,9/17/1998,t6456
p10017,Andrzej Strzała,,,Middle-blocker,195.0,PL,1/1/1982,t2390
p100171,Gabriel Prata,,,Outside Hitter,,PT,4/11/2004,t19556
p100172,Dinis Pereira,,,Setter,,PT,10/27/2005,t19556
p100173,Gonçalo Ferreira,,,Outside Hitter,193.0,PT,2/4/2005,t2806
p100176,Vyacheslav Kurguzov,,,Opposite,200.0,,5/11/1982,t2425
p10018,Jakub Zagaja,,,Opposite,200.0,PL,1/1/1982,
p10019,Tomasz Rakoczy,,,Outside Hitter,192.0,PL,1/1/1982,t5677
p100190,Kosuke Hosokawa,,,Middle-blocker,198.0,JP,,t2970
p100193,Robert Stefan Chirila,,,Middle-blocker,200.0,IT,3/10/2005,
p100194,Alessandro Zecca,,,Libero,182.0,IT,12/11/2004,
p100196,Ireneusz Mierzwiński,,,Middle-blocker,,PL,,
p100197,Mattia Bertuzzi,,,Middle-blocker,192.0,IT,3/18/1994,
p100199,Antonio Vitelli,,,Middle-blocker,196.0,IT,12/5/1989,
p1002,Konstantin Čupković TOP 500,451.0,89.0,Outside Hitter,205.0,RS,1/2/1987,t1358
p10020,Łukasz Skrzypek,,,Opposite,202.0,PL,1/1/1982,t5677
p100200,Federico Calandri,,,Setter,,IT,,
p100201,Lorenzo Giraudo,,,Outside Hitter,,IT,,
p100202,Andrea Salomone,,,Outside Hitter,,IT,,
p100203,Jacopo Longhi,,,Opposite,,IT,,
p100204,Luca Semino,,,Middle-blocker,,IT,,t7634
p100205,Manuel Bonvini,,,Setter,,IT,,t7634
p100207,Giovanni Perissinotto,,,Opposite,,IT,,t7505
p100208,Riccardo Anzani,,,Libero,,IT,,t7505
p100209,Alessandro Melfi,,,Middle-blocker,,IT,,t7505
p10021,Tomasz Stachowicz,,,Outside Hitter,190.0,PL,1/1/1982,t5677
p100210,Simone Gualtieri,,,Setter,,IT,,t7505
p100211,Riccardo Romanatti,,,Opposite,,IT,,t7505
p100213,Stefano Giraudo,,,Middle-blocker,,IT,,
p100214,Dario Mosso,,,Setter,,IT,,
p100215,Alessio Gotti,,,Outside Hitter,185.0,IT,5/11/2001,
p100217,Luca Cattani,,,Outside Hitter,184.0,IT,11/9/1996,
p100218,Francesco Orsi,,,Opposite,200.0,IT,8/17/2000,
p10022,Jacek Skotak,,,Opposite,195.0,PL,1/1/1982,t2390
p100220,Michele Moroni,,,Setter,,IT,1/20/1993,
p100221,Luca Savi,,,Middle-blocker,191.0,IT,4/28/1989,
p100223,Simone Ruozzi,,,Middle-blocker,192.0,IT,10/7/1987,
p100226,Paweł Boniaszczuk,,85.0,Setter,193.0,PL,7/18/2003,t5215
p100227,Luca Brembilla,,,Outside Hitter,,IT,,
p100228,Simone Menichini,,,Libero,,IT,,
p10023,Rafał Zemła,,,Setter,190.0,PL,1/1/1982,
p10024,Aleksander Mutryn,,,Middle-blocker,196.0,PL,1/1/1982,t5309
p10025,Dominik Sroga,,,Outside Hitter,191.0,PL,1/1/1982,t1720
p10026,Łukasz Pawluk,,,Middle-blocker,196.0,PL,1/1/1982,t5306
p100263,Marco Bonetti,,,Middle-blocker,,IT,9/4/1982,
p100264,Riccardo Asnaghi,,,Libero,173.0,IT,2/25/1997,
p10027,Paweł Migut,,,Middle-blocker,197.0,PL,1/1/1982,t5306
p100276,Riccardo Chiesa,,,Middle-blocker,,IT,2/14/1981,
p10028,Piotr Szpynda,,,Middle-blocker,192.0,PL,1/1/1982,t1717
p100283,Marcello Vecchi,,,Setter,,IT,12/23/1994,
p100285,Stefano Carotti,,,Outside Hitter,,IT,12/18/1999,
p100289,Luka Urošević,,78.0,Setter,198.0,RS,3/21/2007,t19749
p10029,Piotr Wierzbicki,,,Outside Hitter,188.0,PL,1/1/1982,
p100295,Federico Santini,,,Setter,,IT,,
p1003,Marko Ivović TOP 200,128.0,92.0,Outside Hitter,194.0,RS,12/22/1990,t4499
p10030,Marcin Oczkowski,,,Middle-blocker,192.0,PL,1/1/1982,t1444
p10031,Adam El-Kass,,100.0,Outside Hitter,194.0,,3/27/1980,t5988
p100310,Thanapon Khongnok,,,Opposite,,TH,,
p100313,Tomas Arratia,,72.0,Setter,180.0,CL,6/14/2005,
p100314,Joaquin Aguirre,,75.0,Setter,182.0,CL,9/16/2005,
p100315,Felipe Valenzuela,,75.0,Opposite,190.0,CL,4/12/2005,
p100316,Josue Ruiz,,73.0,Outside Hitter,194.0,CL,4/13/2006,
p100317,Samuel Munita,,77.0,Outside Hitter,186.0,CL,4/15/2005,
p100318,Ian Gei,,77.0,Outside Hitter,187.0,CL,4/21/2005,
p100319,Goran Rafaell,,73.0,Middle-blocker,194.0,CL,6/18/2005,
p10032,Piotr Szyćko,,,Middle-blocker,198.0,PL,1/5/1982,t2458
p100320,Pablo Sirhan,,74.0,Middle-blocker,188.0,CL,1/27/2005,
p100321,Esteban Villarroel,,70.0,Middle-blocker,190.0,CL,6/29/2006,
p100323,Carlos Figueroa,,77.0,Opposite,190.0,CL,2/21/2005,
p100325,Daniel Fuenzalida,,68.0,Libero,180.0,CL,5/24/2005,
p10033,Grzegorz Godlejewski,,,Middle-blocker,197.0,PL,1/20/1982,t2655
p100330,Kaan Andres Vargas Arik,,63.0,Libero,170.0,CR,,
p100337,Aleksei Voltšihhin,,63.0,Outside Hitter,177.0,,2/6/2006,t19763
p10034,Łukasz Grabowski,,,Middle-blocker,193.0,PL,1/23/1982,t1349
p100341,Mark Stankov,,62.0,Setter,170.0,,5/25/2006,t19763
p100347,Fjodor Jegorov,,69.0,Outside Hitter,183.0,,3/15/2006,t19763
p10035,Marcin Czajka,,,Middle-blocker,195.0,PL,1/29/1982,t1717
p10036,Grzegorz Górnik,,,Libero,189.0,PL,2/16/1982,
p10037,Piotr Niemiec,,,Opposite,200.0,PL,3/3/1982,t1586
p10038,Marcin Olichwer,,,Opposite,197.0,PL,3/5/1982,t1529
p100383,Valerio Carboni,,,Libero,180.0,IT,1/11/1984,
p100384,Andrea Gabrielli,,,Outside Hitter,189.0,IT,9/7/1988,
p10039,Łukasz Maziak,,,Opposite,190.0,PL,4/11/1982,
p100396,Mhamed Mifdal,,87.0,Middle-blocker,197.0,MA,6/3/1998,t5026
p1004,Marko Podraščanin TOP 100,33.0,92.0,Middle-blocker,204.0,,8/29/1987,
p10040,Wojciech Pliński,,,Outside Hitter,190.0,PL,5/8/1982,t1525
p10041,Robert Kiwior,,,Setter,194.0,PL,5/12/1982,t1548
p10042,Michał Uliński,,,Opposite,199.0,PL,5/18/1982,
p10043,Wojciech Pawłowski,4987.0,,Opposite,202.0,PL,5/25/1982,t2448
p10044,Marcin Laskowski,,,Outside Hitter,195.0,PL,6/3/1982,t1855
p10045,Łukasz Kałużny,,,Setter,187.0,PL,6/9/1982,t2520
p100454,Frank Craig,,,Outside Hitter,196.0,,4/23/1993,t11075
p10046,Przemysław Golec,,,Setter,194.0,PL,6/22/1982,
p100467,Fabio Di Fulvio,,,Middle-blocker,192.0,IT,8/12/1996,
p10047,Łukasz Lamcha,,,Libero,182.0,PL,6/28/1982,t1529
p10048,Marcin Ciesielski,,,Outside Hitter,195.0,PL,7/9/1982,t2557
p100482,Yusuf Osama,,,,,EG,12/12/1990,
p100485,Davide Perini,,,Outside Hitter,,IT,9/21/1995,
p100487,Lorenzo Pieri,,,Libero,,IT,7/10/2000,
p10049,Mariusz Neroj,,,Middle-blocker,197.0,PL,7/12/1982,t2556
p1005,Marko Samardžić TOP 1000,977.0,82.0,Libero,190.0,RS,2/22/1983,t1979
p10050,Michał Gańko,,,Middle-blocker,196.0,PL,7/24/1982,t5120
p100500,Davide Rosa,,,Middle-blocker,,IT,,
p100501,Leonardo Sabbatini,,,Middle-blocker,,IT,,
p100502,Tommaso Larizza,,,Setter,,IT,,
p100503,Alessandro Giombini,,,Libero,,IT,,
p100504,Mattia Sabbatini,,,Setter,,IT,,t1767
p100505,Samuele Gasparroni,,,Middle-blocker,,IT,,
p100506,Ermal Ujkaj,,,Middle-blocker,,,,
p100507,Francesco Terranova,,,Outside Hitter,,IT,,
p100508,Marco Magini,,,Outside Hitter,,IT,,
p100509,Marco Santini,,,Opposite,,IT,,
p10051,Daniel Wilk,,,Opposite,199.0,PL,8/4/1982,t1444
p100510,Daniele Mellano,,,Middle-blocker,202.0,IT,4/11/2002,
p100513,Yoon-Soo Lee,,,Outside Hitter,198.0,KR,9/15/2003,t1596
p100514,Seon-Gyu Kang,,,Libero,179.0,KR,8/11/2003,t16940
p100515,에디 Eddie,,,Outside Hitter,198.0,MN,12/21/1999,t16894
p100516,유하 Liu,,,Outside Hitter,198.0,CN,4/6/1999,t16898
p100517,Vassileios Tsarouchas,,,Opposite,195.0,GR,1/31/2002,t12944
p100519,Thanasis Lepouras,,,Setter,182.0,GR,11/29/1994,t12944
p10052,Marcin Kurzawa,,,Outside Hitter,191.0,PL,8/6/1982,t2458
p100520,Antonis Stafylopatis,,,Middle-blocker,193.0,GR,5/8/2002,t12944
p100526,Antonii Mitrev,,73.0,Middle-blocker,186.0,BG,10/17/2007,t19776
p10053,Tymoteusz Gajek,,,Setter,185.0,PL,8/30/1982,
p100531,Enrico Menegazzo,,,Universal,,IT,,t3715
p100532,Giulio Tonon,,,Outside Hitter,,IT,,
p100534,Damiano Tomba,,,Outside Hitter,,IT,,t3715
p100535,Gianluca Paron,,,Setter,,IT,,t3715
p100536,Andrea Faggion,,,Middle-blocker,,IT,,t3715
p100538,Daniele Tomatis,,,,,IT,,
p10054,Dmitro Vdovin,,,Outside Hitter,207.0,UA,9/5/1982,
p10055,Maciej Kosmol,,,Libero,190.0,PL,9/22/1982,t5690
p100559,Jay Magus,,,Universal,196.0,CA,5/29/1971,t1876
p10056,Adam Kurian,6611.0,,Opposite,202.0,PL,10/7/1982,t1477
p10057,Damian Dulanowski,,,Middle-blocker,191.0,PL,10/11/1982,t2520
p10058,Milan Mizerák,5244.0,89.0,Middle-blocker,199.0,SK,10/27/1982,t1967
p10059,Maciej Alancewicz,6400.0,,Outside Hitter,192.0,PL,12/7/1982,
p1006,Mihajlo Mitić TOP 1000,789.0,90.0,Setter,201.0,RS,9/17/1990,t1838
p10060,Łukasz Wołek,,,Middle-blocker,194.0,PL,12/27/1982,t1654
p100608,Filippo Monelli,,,Libero,,IT,,
p10061,Łukasz Augusatynowicz,,,Setter,186.0,PL,1/1/1983,
p10062,Adrian Milczarek,,,Opposite,197.0,PL,1/1/1983,
p10063,Andrzej Bagniuk,,,Outside Hitter,186.0,PL,1/1/1983,
p100631,Aurélien Garin,,,Setter,180.0,FR,3/19/1982,t2969
p100632,Loïc Clauzel,,,Outside Hitter,188.0,FR,5/2/1987,t2969
p100633,Rémi Dardanelli,,,Opposite,183.0,FR,5/10/1986,t2969
p100634,Martial Nivan,,,Setter,183.0,FR,6/9/1987,t2969
p100638,Innocent Elok,,,Universal,,UG,,
p10064,Bartosz Celoch,,,Setter,186.0,PL,1/1/1983,t5306
p100640,Zachary Meyer,,90.0,Outside Hitter,195.0,,9/5/1997,t1294
p100641,Oscar Giménez,,82.0,Middle-blocker,191.0,PY,4/5/2007,
p100642,Noah Taitano,,93.0,Opposite,194.0,,11/7/1998,
p10065,Kacper Gonder,,,Middle-blocker,195.0,PL,1/1/1983,t1444
p10066,Jakub Kubiakowicz,,,Outside Hitter,184.0,PL,1/1/1983,t1444
p100664,José Alfonzo Torrealba Sequera,,77.0,Opposite,190.0,VE,9/24/2004,
p10067,Krzysztof Stęplewski,,,Middle-blocker,198.0,PL,1/1/1983,t1605
p10068,Przemysław Kromulski,,,Middle-blocker,195.0,PL,1/1/1983,t1704
p10069,Wojciech Wejman,,,Libero,178.0,PL,1/1/1983,t1704
p1007,Milan Celić,5243.0,93.0,Middle-blocker,201.0,RS,8/8/1987,t2415
p10070,Leszek Waściński,,,Opposite,190.0,PL,1/1/1983,t1704
p10071,Paweł Onoszko,,,Outside Hitter,184.0,PL,1/1/1983,t1704
p100715,Dale Starr,,,Setter,,,,t19785
p10072,Jakub Chojecki,,,Middle-blocker,193.0,PL,1/1/1983,t1855
p10073,Przemysław Przyborowski,,,Middle-blocker,196.0,PL,1/1/1983,t5683
p100736,Gabriele Coletti,,,Middle-blocker,,IT,,
p10074,Mariusz Prokopowicz,,,Middle-blocker,196.0,PL,1/1/1983,t2454
p100748,Daniele Torregiani,,,Opposite,,IT,,t12465
p100749,Lorenzo Dignani,,,Libero,,IT,,t12465
p10075,Piotr Żuber,,,Middle-blocker,200.0,PL,1/1/1983,t1863
p100752,Thomas Alessandrini,,,Outside Hitter,,IT,,t12465
p100758,Matthew Proper,,,Outside Hitter,201.0,,10/20/1983,
p10076,Rafał Szabat,,,Setter,186.0,PL,1/1/1983,
p100761,Alessandro Stella,,,Opposite,,IT,,
p100762,Riccardo Cremascoli,,,Setter,,IT,,
p100763,Giovanni Chiarini,,,Outside Hitter,,IT,,
p100764,Matteo Chiarini,,,Outside Hitter,,IT,,
p100765,Daniele Gatto,,,Setter,,IT,,t16326
p100766,Mattia Lucarini,,,Outside Hitter,,IT,,t16326
p100767,Lorenzo Palazzesi,,,Opposite,,IT,,t16326
p100768,Davide Casini,,,Middle-blocker,,IT,,
p100769,Federico Morazzini,,,Outside Hitter,,IT,,
p10077,Witold Winiarczyk,,,Opposite,200.0,PL,1/1/1983,t1996
p100772,Leonardo Velotta,,,Middle-blocker,,IT,,t8648
p100773,Lorenzo Chioffi,,,Outside Hitter,,IT,,t8648
p100774,Luca Lai,,,Opposite,,IT,,t5089
p100775,Andrea Leccis,,,Middle-blocker,,IT,,t5089
p10078,Arkadiusz Męczyński,,,Middle-blocker,198.0,PL,1/1/1983,t3689
p100781,Mitchell Newman,,,Outside Hitter,196.0,CA,5/31/1999,t1718
p100787,Daniel Genovesi,,,Middle-blocker,,IT,,
p100788,Alex Schiaroli,,,Libero,,IT,,
p100789,Amos Vignaroli,,,Middle-blocker,,IT,,
p10079,Grzegorz Miczołek,,,Outside Hitter,189.0,PL,1/1/1983,t3689
p100790,Jacopo Di Martino,,,Opposite,,IT,,
p100791,Lorenzo Di Nisio,,,Opposite,,IT,,
p100792,Marco Caciorgna,,,Outside Hitter,,IT,,t16326
p100793,Filippo Sparaci,,,Libero,,IT,,
p1008,Milan Rasić,1139.0,86.0,Middle-blocker,205.0,RS,2/2/1985,t2589
p10080,Krzysztof Cisło,,,Outside Hitter,196.0,PL,1/1/1983,t3689
p100801,Gabriel Negrão,,,Outside Hitter,190.0,BR,1/1/2005,t19772
p100802,Yan Patrick Bonfim,,,Middle-blocker,206.0,BR,1/1/2006,t16028
p10081,Paweł Pasek,,,Opposite,196.0,PL,1/1/1983,
p10082,Rafał Poprawa,,,Middle-blocker,198.0,PL,1/1/1983,t5677
p10083,Miłosz Majka,,,Libero,194.0,PL,1/1/1983,t2390
p10084,Marek Wendykier,,,Outside Hitter,194.0,PL,1/1/1983,t2390
p100849,Nikolay Polikarpov,,87.0,Outside Hitter,193.0,,12/7/1993,
p10085,Bartłomiej Walczak,,,,,PL,1/1/1983,t2520
p100851,Matteo Ridolfi,,,Middle-blocker,,IT,,
p100852,Riccardo Pinzani,,,Libero,,IT,,
p100853,Lorenzo Verdecchia,,,Outside Hitter,,IT,,
p100855,Fabrizio Andreatta,,,Outside Hitter,,IT,,
p100856,Andrea Consani,,,Opposite,,IT,,
p100858,Luca Riposati,,,Setter,,IT,,
p100859,Cristian Cannella,,,Libero,,IT,,
p10086,Artur Żaba,,,Middle-blocker,202.0,PL,1/1/1983,t2390
p100866,Giovanni Camilletti,,,Opposite,,IT,,
p100867,Leonardo Montacci,,,Middle-blocker,,IT,,t16002
p100869,Emanuele Pitocchi,,,Middle-blocker,,IT,,
p10087,Adam Zieliński,,,Libero,190.0,PL,1/1/1983,t2458
p100871,Francesco Cesari,,,Libero,,IT,,
p100875,Martin Berger,,,Middle-blocker,205.0,IT,4/3/2003,
p10088,Maciej Dłuski,,,Outside Hitter,190.0,PL,1/1/1983,t1863
p100882,ünal Ergün,,70.0,Setter,190.0,TR,4/28/2005,t11537
p100885,Dario Sansonetti,,,Outside Hitter,194.0,IT,12/9/1976,
p100887,Lorenzo Ferretti,,,Middle-blocker,,IT,,
p100888,David Rossi,,,Libero,,IT,,
p100889,Luca Grassini,,,Middle-blocker,,IT,,t7621
p10089,Szymon Sokołowski,,,Setter,185.0,PL,1/1/1983,t3072
p100890,Lorenzo Fruet,,,Outside Hitter,,IT,,
p100891,Andrea Zambelli,,,Setter,176.0,IT,2/4/1955,
p100893,Alessandro Polidori,,,Outside Hitter,193.0,IT,3/8/1989,
p100895,Marco Ferraro,,,Libero,188.0,IT,11/3/1987,
p100896,Giacomo Arcangeli,,,Outside Hitter,191.0,IT,3/3/1989,
p100898,Massimo Pasquantonio,,,Setter,180.0,IT,12/2/2000,t12526
p100899,Daniele Servettini,,,Middle-blocker,197.0,IT,9/19/1989,
p1009,Miloš Vemić,1286.0,94.0,Outside Hitter,203.0,RS,3/8/1987,t10550
p10090,Jan Rzadkowski,,100.0,Middle-blocker,200.0,PL,4/6/1983,t19128
p100900,Diego Staccini,,,Outside Hitter,190.0,IT,2/13/1981,
p100901,Lorenzo Dazzini,,,Libero,175.0,IT,12/23/2003,
p100902,Marco Corzani,,,Middle-blocker,189.0,IT,4/25/1989,
p100903,Federico Padella,,,Middle-blocker,198.0,IT,4/16/1990,
p100904,Alberto Tini,,,Opposite,190.0,IT,10/30/1993,
p100905,Luigi Cappannelli,,,Middle-blocker,194.0,IT,6/30/1998,
p100906,Nicola Novelli,,,Opposite,,IT,12/20/1999,
p100907,Tommaso Lopresti,,,Setter,,IT,2/5/1999,
p10091,Adel Mouelhi,,,Setter,184.0,TN,1/1/1983,t5309
p100911,Federico Mondaini,,,Outside Hitter,,IT,,
p100912,Lorenzo Oliva,,,Middle-blocker,,IT,,
p100914,Marco Zaccaria,,,Setter,,IT,,
p100915,Matteo Vergassola,,,Outside Hitter,,IT,,
p100916,Stefano Pierro,,,Opposite,188.0,IT,1/27/1993,
p10092,Bartłomiej Szczypczyki,,,Setter,189.0,PL,1/1/1983,t21067
p100922,Massimo Colapietro,,,Outside Hitter,,IT,,
p100924,Alessandro Nitti,,,Opposite,,IT,,
p100925,Vincenzo Mangini,,,Outside Hitter,,IT,,
p100926,Alessio Omaggi,,,Middle-blocker,200.0,IT,4/10/2001,
p100928,Giotto Tiraboschi,,,Libero,,IT,,
p10093,Roman Rudziński,,,Libero,186.0,PL,1/1/1983,t5690
p100933,Diego Bizzarri,,,Middle-blocker,,IT,,
p100934,Jacopo Angeli,,,Outside Hitter,,IT,,
p100936,Simone Clementi,,,Outside Hitter,,IT,,
p100937,Lorenzo Bugari,,,Libero,,IT,,
p100939,Filippo Giustini,,,Outside Hitter,188.0,IT,6/5/2001,t12468
p10094,Szymon Lange,,,Middle-blocker,192.0,PL,1/1/1983,
p100940,Francesco Trappetti,,,Libero,179.0,IT,9/17/1992,t12468
p100942,Francesco Diamanti,,,Middle-blocker,195.0,IT,1/6/1999,t12468
p100943,Federico Grilli,,,Outside Hitter,180.0,IT,3/24/2001,t12468
p100944,Nicolò Faba,,,Middle-blocker,195.0,IT,10/10/2003,t12468
p100945,Damiano Lupi,,,Libero,175.0,IT,8/13/2003,t12468
p100946,Andrea Stambuco,,,Setter,175.0,IT,7/12/2002,t12468
p100947,Marco Mariani,,,Opposite,,IT,,t12468
p100948,Francesco Martinelli,,,Opposite,190.0,IT,6/7/2000,t12468
p100949,Miodrag Noveski,,,Middle-blocker,192.0,,2/18/2000,t2362
p10095,Sebastian Wanat,,,Setter,192.0,PL,1/1/1983,t5202
p100951,Donat Zaimi,,,Libero,175.0,RO,8/5/2001,
p100953,Leonardo Conti,,,Outside Hitter,195.0,IT,7/13/2002,
p100954,Luca Maracchia,,,Opposite,198.0,IT,4/1/1996,
p100955,Stavri Mele,,,Setter,194.0,IT,6/3/1999,
p100958,Davide Caldirola,,,Outside Hitter,,IT,,
p10096,Andrew Pink,,86.0,Outside Hitter,192.0,GB,1/1/1983,t1473
p100961,Manuele Pizzini,,,Outside Hitter,,IT,,
p100962,Armando Pisano,,,Middle-blocker,,IT,,
p100963,Alessandro Perilli,,,Opposite,,IT,,
p100964,Mario Librizzi,,,Setter,,IT,,
p100965,Roberto Marcone,,,Setter,,IT,,
p10097,Peter Dohnal,,,Libero,173.0,,1/3/1983,t1525
p100970,Raphael Ossart,,,Setter,,FR,,t1749
p10098,Zbigniew Żurek,,,Outside Hitter,187.0,PL,1/12/1983,t1444
p10099,Łukasz Wajda,,,Setter,182.0,PL,1/16/1983,t2390
p100990,Mpofu Khanyile,,76.0,Universal,185.0,ZW,1/29/2001,
p100996,Max Ryltenius,,75.0,Universal,184.0,SE,9/20/2003,
p1010,Miloš Nikić TOP 500,429.0,79.0,Outside Hitter,194.0,RS,3/31/1986,t3673
p10100,Roman Gulczyński,,,Opposite,194.0,PL,1/22/1983,t3580
p10101,Maciej Leński,,,Setter,187.0,PL,1/31/1983,
p10102,Paweł Kopaczel,,,Outside Hitter,195.0,PL,2/11/1983,t2655
p10103,Krzysztof Bas,,,Opposite,196.0,PL,2/25/1983,t1855
p10104,Tomasz Biryło,,90.0,Opposite,193.0,PL,2/26/1983,t2655
p101044,Yasushi Furukawa,,,Setter,181.0,JP,5/28/1961,t11932
p101045,Hideyuki Otake,,,Middle-blocker,208.0,JP,7/16/1967,t1370
p101046,Katsumi Oda,,,Middle-blocker,198.0,JP,5/6/1952,
p10105,Paweł Mazowski,7026.0,,Outside Hitter,194.0,PL,3/2/1983,
p10106,Artur Kabziński,,,Outside Hitter,192.0,PL,3/2/1983,t1525
p101066,Roberto Mastrangelo,,,Setter,188.0,IT,8/4/1988,
p101067,Mohamed Azaz El Said,,,Outside Hitter,195.0,,8/29/2006,
p101068,Matteo Galliani,,,Setter,180.0,IT,2/28/2004,
p101069,Stefano Guolla,,,Opposite,192.0,IT,3/2/2002,
p10107,Grzegorz Pietkiewicz,6924.0,,Setter,189.0,PL,3/11/1983,t2655
p101070,Jacopo Ravellino,,,Libero,178.0,IT,7/27/2003,
p101071,Stefano Giusto,,,Outside Hitter,182.0,IT,3/20/2003,
p101073,Alberto Parise,,,Middle-blocker,192.0,IT,10/2/2003,
p101074,Keyvan Karimi,,,Opposite,192.0,,10/20/2004,
p101075,Roberto Trinchero,,,Setter,182.0,IT,4/2/2003,
p10108,Sirianis Hernández,4599.0,,Outside Hitter,198.0,CU,3/14/1983,t1502
p101085,Rafał Putkowski,,,Middle-blocker,197.0,PL,,t1298
p10109,Konrad Prusakowski,,,Middle-blocker,201.0,PL,3/17/1983,
p1011,Miloš Stojković,4870.0,92.0,Outside Hitter,200.0,RS,5/17/1987,t2870
p10110,Tomasz Potopa,,,Setter,189.0,PL,3/24/1983,t1704
