body_builder_id,first_name,last_name,birth_date,team_id
157,Dimitri,Girin,,
158,Valentin,Juan,,
159,Gaël,Quérin,7/26/1987,
160,Lollo,Arioli,,
161,Kevin,Fiette,,
162,Riccardo,Coriani,,
163,Thomas,Marchand,3/23/1981,
164,Antoine,Havard,5/11/1998,
165,Stefano,Marconi,,
166,Adrian,Morard,3/15/1990,
167,Niccolò,Caldari,3/16/1990,
168,Rudy,Bourguignon,,t1680
169,Valentina,Marin,,
170,Gino,Kokuvi,5/22/1983,
171,Flavia,Guidotti,,
172,Frantz,Granvorka,3/10/1976,t1672
173,Dario,Giuffrida,,
174,Samuel,Breton,,
175,Mario,Innocentiis,,
176,Aristotelis,Georgopoulos,,t1320
177,Luca,Fongaro,,
178,Asimakis,Margaritis,,
179,Juosif,Shaker,,
180,Lorenzo,1000,,
181,Carlo,Simonelli,,t1735
182,Pietro,Giodice,,
183,Giorgos,Mpatistatos,7/31/1975,t14670
184,Alexandros,Polychroniadis,7/2/1988,
185,Panagiotis,Roxanas,,
186,Loris,Dipietrobono,,
187,Anastasios,1000,11/9/1969,t1743
188,Silvio,Colnago,,
189,Thomas,Zatas,4/27/1985,
190,Federica,Colabufalo,1/1/1970,
191,Christos,Varatasis,,
192,Michele,Rosso,,
193,George,Vavetsis,7/10/1968,
194,Gioele,Rosellini,3/22/1990,
195,Davide,Grigoletto,,t7645
196,Matteo,Bozzetti,,
197,Cristian,Tiberti,,
198,Federico,Rampazzo,,t1929
199,Sergio,Machella,,
200,Asami,Shibahara,,
201,Takako,(篠原孝子),10/1/1966,
202,Arai,Miyuki,,
203,Momoko,Wada,8/21/1988,
204,Yoko,Senno,11/24/1986,
205,Karin,Sonnemans-Mennen,,
206,Richard,Haex,,
207,Jacco,Geuzebroek,7/22/1993,
208,Ted,Altena,,t2795
209,Daniel,Cotillo,,
210,Orlando,Vegas,,
211,Paul,García,,
212,Marcio,Fababa,,
213,Pierre,Chagua,,
214,Gustavo,Napuchi,,t2468
215,Diego,Galvan,,
216,César,Huamani,,
217,Julio,Villafuerte,,
218,Wilfredo,Guevara,,
219,Juan,Carrión,,
220,Rommel,Chang,,
221,Filma,Herbosa,,
222,Grace,Gomez,,
223,Justin,Santos,,
224,Kuba,Szyszka,10/8/1990,t1843
225,Łukasz,Murdzia,6/6/1983,
226,Zuzanna,Czyżnielewska,4/24/1992,
227,Justin,Ziółkowski,6/9/1998,t1576
228,Kacper,Murawski,5/12/1999,
229,Patryk,Drobik,10/14/1993,t1358
230,łukasz,Kowalski,2/15/1994,
231,Łukasz,1000,,
232,Tomasz,Stasiak,1/29/1976,t1412
233,Hanna,Łukowska,,t1704
234,Wojciech,Sibiga,9/1/1983,
235,Piotr,Karlik,2/22/1991,t2344
236,Bartosz,Bielenda,,t1444
237,Grzegorz,Kurek,12/1/1995,t9916
238,Mafalda,Botelho,,
239,José,Pinto,,
240,Inês,Pires,,t20602
241,João,Domingues,6/20/1997,
242,Santiago,Guedes,,
243,João,Francisco,,t6585
244,Miguel,Fernandes,,
245,Carolina,Saldanha,,
246,Pedro,Ferreira,,
247,Canea,Vasile,1/12/1982,
248,Cristian,Nedelcu,2/13/1997,
249,Stefan,Gerea,3/17/1997,
250,Stoica,Rares,,
251,Vlad,Toma,9/7/1994,
252,Marijana,Jurisic,11/26/1986,
253,Nemanja,Jeremic,,
254,Nikola,Pejčinović,11/28/1986,t1783
255,Filip,Vlajic,5/11/1992,
256,Goran,Pankovic,,
257,Zdravko,Aničić,11/23/1993,
258,Filip,Jorgić,5/8/1993,
259,Miloš,Aćimović,4/11/1977,
260,Dobrica,šopalović,,
261,Elena,(Cem),8/7/1988,
262,Georgii,Kosheliuk,7/16/1988,
263,Dmitry,(Dima),5/24/1982,
264,Dmitry,Ezhov,4/20/1991,
265,Igor,Trandenkov,8/17/1966,t4499
266,Evgeniya,Kondrashkina,7/1/1990,
267,Tina,Tubbs,,
268,Jeff,Liu,,
269,Lindsay,Adams,,
270,Anastasios,1000,11/9/1969,t1743
271,Turreal,Moore,,
272,Marcella,Matanis,,
273,Josip,(Jojo),1/1/1983,t1662
274,Zoran,Dražetić,,
275,Samo,(Tigar),7/12/1985,t1296
276,Jure,Muršec,7/14/1995,
277,Mohamed,Boubaker,,
278,Firas,Lemjid,,t3671
279,Mahdi,Hmaid,5/26/1990,
280,Erencan,Kütük,11/15/1995,t1534
281,Savaş,Akkaya,,
282,Selman,Kaya,11/19/1987,
283,Eray,Safi,,
284,Uygar,Kaya,,
285,Eser,Kocaarslan,10/26/1991,
286,Kübra,Kurt,1/1/1996,
287,Latif,Erberk,,t6584
288,Ali,Yarar,6/8/1997,t3651
289,Turgay,500,,
290,Yunus,ünver,,
291,Nurullah,Kurtalan,,t4536
292,ömer,1000,4/13/1988,
293,Sadık,Şatıroğlu,1/1/1988,
294,Hamza,Güçlü,,
295,Mahir,Can,1/21/1985,t1534
296,Abdullah,Sözüer,,
297,Erdal,Hüner,,
298,Sinem,Demir,6/12/1997,
299,Burak,Soysal,,
300,İsmail,Türkmen,5/22/1988,
301,Tolgahan,Ulaş,,
302,Oktay,Meryem,,
303,Doğucan,Gökmen,,
304,Merve,Balcı,5/10/1994,
305,Cagri,Ceyhan,1/30/1989,t2007
306,Murat,Tanrıverdi,1/17/2000,
307,Barış,Şaylı,,
