first_name,last_name,weight,height,birth_date,team_id
Marcos,Milinkovic,100.0,205.0,12/22/1971,t15060
Sebastian,Carotti,0.0,0.0,2/27/1983,
Romina,Crespo,0.0,0.0,,
Horacio,Bastit,0.0,0.0,11/29/1960,
Ivana,Muller,0.0,0.0,3/7/1974,
Facundo,Leal Disario (Facundo),0.0,0.0,6/9/1975,t1449
Facundo,Moreno,0.0,0.0,,
Gabriela,Puente,0.0,0.0,,
Camilo,Soto TOP 1000,0.0,185.0,6/25/1975,
Mariela,Berlanda,0.0,0.0,,
Ezequiel,Kihn,0.0,0.0,10/23/1979,
Lucas,Carrizo,0.0,0.0,,
Marcelo,Fabián Silva,0.0,0.0,6/9/1968,
Gabriel,Aramayo,0.0,0.0,,
Jose,Benini,0.0,0.0,,
Cristian,Imhoff,94.0,203.0,1/14/1986,
Julio,De Giorgi,0.0,0.0,,
Diego,Arribas,0.0,0.0,,t1417
Mauro,Rus,0.0,0.0,2/22/1987,t2596
Gilman,Cao,0.0,202.0,3/30/1972,
Juan,Mendez,83.0,183.0,8/21/1996,t13706
Bruno,Soloa,0.0,0.0,,
Lucas,Lapejrusk,0.0,0.0,,t3939
Adrían,iorenza,0.0,0.0,11/17/1970,
Paul,Carroll,98.0,207.0,5/16/1986,t1756
Martin,Collins (Marty Collins),0.0,190.0,8/10/1986,
Shannon,Winzer,0.0,0.0,,
Guillermo,Gallardo TOP 500,0.0,0.0,11/2/1970,
Lauren,Bertolacci,68.0,171.0,1/26/1985,
Claudio,Zulianello,91.0,198.0,5/29/1965,t2379
Mark,Lebedew TOP 200,0.0,0.0,5/6/1967,t1960
Famil,Aghayev,0.0,0.0,2/10/1986,
Parviz,Samadov,97.0,202.0,1/28/1986,
Damian,Arredondo,0.0,0.0,12/24/1979,
Farid,Jalalov,0.0,198.0,2/4/1987,
Daniel,Castellani,0.0,195.0,3/21/1961,
Ziya,Racabov TOP 1000,0.0,0.0,,
Maria,Laura Vincente (Lali),0.0,172.0,11/25/1977,
Dilgam,Gahramanov,0.0,0.0,7/31/1985,
Mariano,Solis,0.0,0.0,,
Eldar,Yusubov,0.0,0.0,2/1/1968,
Matias,Pasquarella,0.0,0.0,,
Nicolas,Ippolito,0.0,0.0,3/11/1985,
Pablo,Moyano (Gordo),0.0,0.0,2/10/1982,t13744
Jeong-Sik,Sohn (손정식),0.0,0.0,11/1/1976,t1612
Ruslan,Motorin,70.0,185.0,8/11/1982,
Faig,Garayev TOP 200,0.0,0.0,1/11/1959,
Vugar,Aliyev TOP 1000,0.0,0.0,1/19/1974,
Akif,Valiyev,97.0,201.0,10/20/1971,
Inessa,Korkmaz (Sargsyan),85.0,190.0,1/17/1972,
Eldar,Aliyev,0.0,0.0,3/5/1967,
Patricio,Jose Fernandez (PATO),0.0,0.0,12/19/1982,t21884
Aleksandr,Chervyakov TOP 1000,0.0,0.0,8/8/1957,
Eduardo,Pizzichillo,0.0,0.0,5/12/1962,
Boško,ihajlović,0.0,0.0,9/10/1973,t2368
Marcelo,Gigante,0.0,198.0,6/11/1966,t1423
Nikola,Jovićević,0.0,0.0,12/6/2003,
Juan,Manuel Gerarduzzi,0.0,0.0,5/23/1989,t1693
Helena,Popović,0.0,0.0,,
Amir,Curan,80.0,179.0,1/20/1980,
Ricardo,Maldonado,0.0,0.0,4/20/1956,
Vladimir,Miličević,84.0,191.0,6/19/1981,t5035
Eduardo,Rodríguez,0.0,197.0,12/15/1971,
Zlatko,Ivić,0.0,0.0,,t6456
Matías,ontalbán,0.0,0.0,,
Gustavo,Molina,95.0,200.0,11/24/1981,t1928
Milan,Marić,0.0,0.0,2/2/1961,t6362
Adisa,Divoš,0.0,0.0,,
Haris,Zolota,0.0,189.0,7/8/1970,t10809
Luis,Testa,0.0,0.0,,
Ifet,Mahmutović,0.0,0.0,1/1/1970,
Juan,Pablo López,0.0,0.0,12/13/1990,t19033
Tomislav,Vojnić,0.0,0.0,9/25/1995,
Franco,Abeijon,0.0,0.0,,
Darko,Drmać,0.0,0.0,,
Erna,Marevac,0.0,0.0,,
Goran,Koprivica,0.0,0.0,,
Adis,Mićanović,0.0,0.0,,
Hernán,edina (Toti),0.0,0.0,,
Horacio,Del Federico,0.0,179.0,2/7/1966,
Rudan,Miladin,0.0,0.0,6/5/1969,t9716
Danilo,Ružić,90.0,202.0,11/26/1988,t2342
Marcelo,Méndez TOP 100,0.0,0.0,6/20/1964,t1566
Mirko,Kozić,0.0,0.0,6/22/1985,t9716
Ruben,Wolochin TOP 1000,0.0,0.0,6/30/1970,
Radmila,Markovic,0.0,0.0,,
Felipe,Lopez,0.0,0.0,,t21101
Sebastian,Azcoitia,0.0,0.0,,
Almir,Aganović,0.0,189.0,8/18/1974,t1698
Almir,Džihan,0.0,0.0,,
Ammar,Hasanbegović,0.0,0.0,5/20/1997,t10809
Juan,Manuel Cichello TOP 500,0.0,0.0,11/1/1975,t1305
Maximiliano,Eduardo Alberto Ledesma (Maxi),0.0,0.0,11/15/1985,t2864
Goran,Jahura,0.0,0.0,,
Santiago,Lionel Paredes Dondo,0.0,0.0,,t1693
Mirsad,Keserović,0.0,0.0,6/9/1958,t2423
Julio,Odiard,0.0,0.0,,
Mišo,arjanović,0.0,0.0,7/4/1986,
Santiago,García Domench TOP 1000,0.0,0.0,10/27/1984,
Aleksandar,Dogatovic (Đogi),95.0,200.0,10/29/1986,
Mariano,Singer,0.0,0.0,,
Davor,Gambiroža,0.0,0.0,,
Almir,Ljutovac,0.0,185.0,10/8/1986,
Nenad,Slovic,0.0,0.0,,t6644
Lucas,Rodriguez Pandolfi,0.0,0.0,,t3908
Davor,Dominković,81.0,191.0,12/3/1992,t6456
Alejandro,Deffis (Adeffis),0.0,0.0,,
Pablo,Catalfamo,0.0,0.0,,
Asmir,Džanković,0.0,0.0,,t1687
Darko,Despotovic,0.0,0.0,11/21/1969,
Rubén,impanaro,0.0,0.0,,t1729
Paula,Casamiquela,0.0,0.0,11/17/1966,
Amela,Barakovič,0.0,185.0,9/22/1981,
Andres,Alves Javier,0.0,0.0,,t19183
Nermin,Obuča,0.0,0.0,,
Alejandro,J. Schneider,0.0,0.0,2/21/1982,t17153
Marko,Kljajić,0.0,202.0,2/20/1991,t5036
Lorena,Góngora,0.0,0.0,,
Leandro,Cardoso,0.0,0.0,,
Miloš,itrović,85.0,185.0,7/9/1975,t2368
Javier,Quiroga,0.0,0.0,,
Alejandro,Gravina Fabregat,0.0,0.0,,t20839
Danijela,Tomic,0.0,0.0,,
Ariel,Ihitz,0.0,0.0,,
Sandra,Mitrovic,0.0,0.0,,
Guillermo,Eduardo Segura,0.0,0.0,12/1/1988,
Leonardo,Nocenti,0.0,0.0,,
Alejandro,Grossi TOP 1000,0.0,188.0,7/19/1961,t5768
Mirsad,Eležović,0.0,0.0,9/9/1951,
Marcos,Belardo,0.0,0.0,6/16/1989,
Ivan,Maljević,0.0,0.0,11/12/1978,
Josip,Vojnic,0.0,0.0,,
Hugo,Gotuzzo,0.0,0.0,8/24/1968,
Germán,ianchi,0.0,0.0,,
Mirsada,Korlatović,0.0,0.0,,
Jorge,Elgueta,96.0,196.0,11/21/1969,t1301
Almer,Adrović,0.0,0.0,1/24/1973,t2597
Saša,lijepčević (Sale),0.0,0.0,7/12/1975,
Fernando,Viel,0.0,0.0,,
Ilija,Toholj,0.0,0.0,3/13/1989,t5035
Guido,Bianchi,0.0,0.0,,
Claudio,Rodríguez,0.0,0.0,,
Armin,Dervišević,0.0,0.0,,
Painé,i Palma,0.0,0.0,,
Franco,Fachini,0.0,0.0,,
Julio,Antonio Pintos (Julio),0.0,0.0,7/2/1969,t13947
Santiago,Moreno,0.0,0.0,,
Juan,Manuel De Palma,0.0,180.0,1/10/1968,t1566
Gabriel,Kunda,0.0,197.0,10/20/1968,
Ricardo,Matias Rojas Castillo,0.0,0.0,1/7/1994,
Javier,Kantor,0.0,0.0,,
Marcelo,Nicolas Ippolito,0.0,0.0,,
Carlos,Cardona,0.0,0.0,,
Marcos,Cesar Molinari,0.0,0.0,,
Julián,coquart,0.0,0.0,1/13/1994,t19033
Duilio,Esteban Ventimiglia Calbo',0.0,0.0,,
Guillermo,Cáceres,0.0,0.0,,
Efrain,Roldan,0.0,0.0,,
Paula,Tirini,0.0,184.0,11/20/1974,
Gabriel,Truffa,0.0,0.0,,
Agustín,odríguez,0.0,0.0,8/16/1984,t11090
Waldo,Kantor TOP 500,93.0,178.0,1/11/1960,
Dardo,Martinez,0.0,0.0,,
Maria,Marcela Corzo,0.0,0.0,4/2/1968,
Fabián,ugo Muraco TOP 500,0.0,0.0,,
Xavier,Perales Coluccio,0.0,0.0,12/20/1972,
Fabián,e Valais,0.0,0.0,7/9/1966,
Raúl,ozano TOP 100,0.0,0.0,9/3/1956,t1569
Smail,Pezerovic,0.0,0.0,4/22/1970,
Lazo,Cvijić,0.0,0.0,3/28/1974,
Émile,ousseaux TOP 500,0.0,195.0,4/3/1961,
Kris,Vansnick TOP 500,0.0,180.0,12/20/1980,
Bram,Cafmeyer,0.0,182.0,4/15/1974,t22514
Branislav,Vlahović,0.0,0.0,9/13/1959,
Bart,Janssen,88.0,194.0,2/3/1983,t2872
Adnan,Hadžimehmedović,0.0,0.0,4/2/1967,t4911
Michel,Marien,0.0,0.0,,
Goran,Hadžić,0.0,0.0,9/27/1956,
Martha,Prieto,0.0,0.0,,
Radoslav,Ćuk,0.0,202.0,4/6/1993,t2368
Yorick,Vande Velde,0.0,0.0,,
Martín,mbrosini,0.0,0.0,7/12/1990,
Dusan,Kuzmanovic,0.0,0.0,5/18/1995,
Pascal,Gora,0.0,0.0,,
Martin,Micheu TOP 1000,0.0,0.0,3/29/1970,
Branko,Mišić,0.0,0.0,3/3/1985,t2423
Nico,De Clercq,0.0,0.0,,
Florian,Sedlacek,0.0,0.0,,
Mart,Buekers,0.0,0.0,,
Helmut,Voggenberger,0.0,0.0,3/5/1971,
Roy,Van Heurck,0.0,0.0,,
Mirza,Sabić,0.0,0.0,,t2342
Carina,Lechner,0.0,172.0,1/16/1989,
Jef,Mol,70.0,183.0,10/22/1950,
đorđe,lošević,0.0,0.0,,
Tom,Claes,0.0,0.0,,
Ljubiša,istić,0.0,192.0,11/13/1967,
Roger,Pouders TOP 1000,0.0,0.0,,
Miralem,Dedovic,0.0,185.0,3/15/1961,
Michael,Huber,0.0,0.0,9/26/1988,t4488
Pascal,Libon,0.0,0.0,,
Chris,Defauw,0.0,0.0,4/21/1950,
Franz,Ziegler,0.0,0.0,,t1826
Almir,Rugovac,90.0,193.0,7/16/1987,t1687
Nyk,Verhertbruggen,0.0,0.0,,
Denis,Dautović,0.0,0.0,,t2597
Jo,Van Decraen,97.0,201.0,4/27/1982,
Filip,Van Welden,0.0,0.0,,
Marco,Niedermair (MN5),0.0,0.0,7/16/1995,
Christophe,Van de Plas,0.0,196.0,12/10/1980,
Erik,Bockstael,0.0,0.0,,
Matthias,Pack,85.0,186.0,11/29/1985,
Pieter,Roesems,0.0,0.0,,
Oliver,Würnschimmel,0.0,0.0,3/26/1970,t20111
Hendrik,Tuerlinckx,86.0,195.0,12/1/1987,
Filip,Van der Bracht,0.0,0.0,,t1987
Andreas,Reiser,0.0,187.0,12/11/1985,
Jeroen,Keymolen,0.0,0.0,,t1484
Tim,Rutten,0.0,0.0,6/30/1994,t1685
Ismaël,anou,0.0,0.0,,
Kris,Eyckmans TOP 1000,0.0,0.0,,
Ezequiel,Martínez,0.0,0.0,9/27/1984,
Hans,Minten,0.0,0.0,,
Markus-Matthias,Günther (Gunzi),0.0,0.0,9/11/1995,
Nicolas,Piraux,84.0,199.0,5/9/1979,t21395
Emiel,Bogemans,0.0,190.0,5/20/1959,t11002
Borislav,Bujak,0.0,0.0,9/20/1967,
Frank,Evers,0.0,0.0,12/10/1971,
Dieter,Geleyn,0.0,0.0,8/29/1998,
Julia,Spieler,0.0,0.0,12/9/1996,
Marcelo,Silva,0.0,0.0,,
Ignace,Claes,0.0,0.0,,
Raf,Vekemans TOP 1000,0.0,0.0,,
Simon,De Clercq,0.0,0.0,6/8/1982,
Jeroen,Rymen,0.0,0.0,,
Gustavo,Santillan,0.0,0.0,,
Dries,Hoeyberghs,0.0,0.0,1/16/1986,t6594
Mira,Juwet,0.0,179.0,2/9/1993,
Facundo,Morando,0.0,0.0,4/11/1988,
Bart,De Greve,0.0,0.0,,
Simone,Marelli,0.0,0.0,,t10843
Pablo,Meana,86.0,187.0,6/10/1975,t1383
Florian,Scherfler,0.0,0.0,1/3/1989,t4729
Ivan,Janssen TOP 1000,0.0,0.0,,t1685
Amer,Zecevic,0.0,0.0,7/18/1998,t1955
Luis,Emilio Ferradàs TOP 1000,0.0,190.0,7/2/1955,t2528
Marlies,De Smet,0.0,183.0,12/31/1991,
Florian,Stangl,0.0,0.0,,
Clarisa,Sagardia,67.0,174.0,6/29/1989,
Bruno,Remaut,0.0,0.0,,
Martin,Appel,0.0,0.0,3/16/1981,t1934
Johan,Devoghel TOP 500,0.0,0.0,9/27/1981,t1484
Ben,Loosen,0.0,0.0,3/29/1994,
Roland,Gattermayr,0.0,0.0,,
David,Van Cauwenberghe,0.0,0.0,,
Bruno,Houtteman,0.0,0.0,,
Sacha,Koulberg TOP 500,0.0,192.0,3/11/1959,
Michaela,Achammer,0.0,0.0,8/29/1980,
Roberto,Woelflin,0.0,0.0,,
Robin,De Bont,70.0,184.0,4/29/1990,
Linde,Hervent,0.0,189.0,5/8/1994,
Lihua,Ma (马丽华),0.0,0.0,3/15/1975,
Joost,Van Kerckhove,0.0,0.0,,t1484
Fien,Callens,0.0,178.0,2/14/1986,
Gernot,Hupfauf,0.0,0.0,4/23/1978,t1550
Ruben,Van Meir,0.0,0.0,,t21398
Flavio,Calafell,0.0,0.0,,t10081
Fabrice,Tonnoir,0.0,0.0,4/9/1970,
Frauke,Dirickx,74.0,186.0,1/3/1980,
Dardo,Muller,0.0,0.0,8/21/1993,t2574
Enrique,Pisani,0.0,0.0,1/1/1945,
Mieke,Moyaert,0.0,0.0,4/21/1982,
Amir,Mustafic,0.0,0.0,,
Diego,Maximiliano Fullone,0.0,0.0,,
Erik,Verstraten TOP 1000,0.0,0.0,,
Daisy,De Coen,0.0,170.0,,
Philip,Schneider,87.0,200.0,12/23/1981,
Alejandro,Kolevich (Tata),80.0,188.0,3/19/1988,t5779
Jiri,Vermeulen,0.0,0.0,,t12320
Markus,Hirczy,81.0,187.0,11/25/1978,t2629
Gabriel,Arroyo,95.0,194.0,3/3/1977,
Walter,Engelen,0.0,198.0,8/24/1968,
Tijo,Vanholzaets,0.0,0.0,4/8/1996,
Dominik,Kefer (Doke),0.0,0.0,10/11/1980,
Carlos,Weber (Carlos Javier Weber) TOP 100,77.0,181.0,1/6/1966,
Tom,Van Walle,83.0,199.0,8/7/1987,t7776
Mario,Trochs,0.0,190.0,1/1/1973,
Luciano,Verasio,0.0,0.0,,
René,alengreaux,0.0,0.0,12/12/1964,t1987
Gerardo,Astesana,0.0,0.0,,
Sébastien,ougeatre,0.0,0.0,,
Jaroslav,Kubišta,0.0,198.0,4/5/1937,
Simon,Hermans,0.0,0.0,,
Richard,Begas,0.0,0.0,,
Franz,Langwieser,0.0,0.0,10/27/1968,t20111
Laurent,Van Elslande (Lolo),0.0,195.0,10/11/1968,
Javier,Gonzales,0.0,0.0,,
Dietmar,Gassler,0.0,0.0,9/12/1968,
Herman,De Brandt,0.0,0.0,1/23/1956,
Maria,Florencia Romero Chicahuala,0.0,0.0,,
Niels,Kingma,0.0,0.0,,
Johann,Huber,0.0,0.0,12/29/1957,t3853
Geert,Van den Berghe,0.0,0.0,,
Virginie,De Carne,76.0,192.0,5/25/1977,
Michael,Falkner,0.0,0.0,11/14/1961,
Pierre,Henry,80.0,196.0,8/26/1992,t11004
Claudio,Gewehr,0.0,200.0,6/10/1966,
Carlos,Cabeza,0.0,0.0,1/5/1961,
Eli,Peeters,0.0,0.0,,
Enrique,Pisani,0.0,0.0,1/1/1945,
Melissa,Keymolen,0.0,0.0,5/5/1993,
Irina,Ananeva Brandstetter,0.0,183.0,2/5/1966,
Ignacio,Damian Verdi Brusati (Kivi),0.0,0.0,1/9/1990,
David,Termote,0.0,195.0,4/12/1983,t10629
Philippe,Varrasse,0.0,185.0,,
Danuta,Brinkmann,0.0,0.0,4/19/1964,
Koen,Aerts,0.0,0.0,,
Fabián,rmoa TOP 200,0.0,0.0,3/17/1964,t1928
Johan,Herbots,0.0,0.0,,
Franky,Reijmen,0.0,203.0,5/15/1970,
Maja,Präprost,0.0,0.0,8/6/1980,
Sebastian,Fernandez,0.0,0.0,,
Frank,Depestele,96.0,191.0,9/3/1977,
Gerd,Van den Bosch,0.0,0.0,,
Attila,Bodzer,0.0,0.0,,
Veronica,Zapara,0.0,0.0,,
Filip,Van Huffel,0.0,192.0,5/19/1965,
Bart,Hungenaert TOP 500,78.0,180.0,3/30/1977,
Philipp,Häring,0.0,190.0,12/30/1978,
Julien,Van de Vyver TOP 500,0.0,0.0,7/24/1957,
Johan,Praets,0.0,200.0,2/13/1964,
Jonathan,De Henau,0.0,0.0,5/7/1988,
Maria,Eugenia Requi,0.0,0.0,3/9/1978,
Liesbet,Vindevoghel,80.0,189.0,12/29/1979,
Wim,Jansen,0.0,0.0,,
Leonel,Carmelino,0.0,0.0,1/21/1988,t1356
Ugo,Blairon,75.0,176.0,5/20/1985,
David,Deschambre,0.0,0.0,,
Bert,Derkoningen,86.0,186.0,7/10/1982,
Andres,Valdemarin,0.0,0.0,12/27/1990,t15726
Joost,Weltens,0.0,0.0,,t11138
Francisco,Montaruli,0.0,0.0,,
Dimitri,Piraux,96.0,198.0,1/25/1974,
Felipe,Bernal (Felipao),0.0,0.0,10/24/1988,t21247
Bernhard,Prem,0.0,0.0,11/1/1989,
Dario,Dukić,98.0,196.0,5/13/1973,t1504
Christof,Van Goethem,0.0,193.0,8/20/1979,
Bram,Van Herck,0.0,0.0,,
Dries,Wittebolle,0.0,0.0,,
Tan,Khuc,0.0,0.0,,t10843
Sanne,Guelinckx,0.0,0.0,,
Martin,Karner,0.0,0.0,5/2/1977,
Andrea,Mendolia,0.0,0.0,,
Steven,Vanmedegael TOP 500,0.0,0.0,6/16/1986,
Dries,Meurisse,0.0,0.0,,t1645
Frederick,Laure,0.0,0.0,,
Mario,Castel,0.0,0.0,,
Tim,Verschueren,75.0,192.0,12/24/1978,t2805
Leonardo,Patti (Leo Patti),95.0,188.0,7/6/1978,t3670
Björn,orfs,0.0,0.0,,
Christophe,Achten TOP 1000,80.0,187.0,9/4/1978,t1484
Dries,Koekelkoren,83.0,194.0,5/25/1988,
Irina,Jeleznova,0.0,0.0,,
Wim,Baillien,0.0,0.0,11/22/1972,
Boris,Kostresevic,0.0,194.0,4/5/1969,
Luc,Ooms,0.0,0.0,1/1/1950,
Yamil,Chaya,0.0,0.0,,
Luc,Engelschenschilt,0.0,0.0,,t2787
Philipp,Kittner,0.0,0.0,9/10/1988,t3853
Hernán,embo,0.0,0.0,,
Dieter,Melis,83.0,195.0,10/3/1977,
Olaf,Mitter,0.0,0.0,2/8/1968,
Fernando,Disanzo,0.0,0.0,,
Audry,Frankart,0.0,201.0,9/15/1982,
Roland,Schwab,0.0,0.0,12/13/1983,
Martin,Blanco Costa TOP 1000,98.0,202.0,12/16/1985,t5265
Vic,Ernon,0.0,0.0,,
Tobias,Micheli,0.0,0.0,3/17/1995,t4488
Manuel,Callebert,80.0,181.0,7/7/1977,
Hugo,Conte,90.0,197.0,4/14/1963,
Markus,Ruppnig,0.0,0.0,7/17/1977,
Anja,Duyck,0.0,180.0,10/8/1968,
Martín,ermejo,0.0,0.0,10/3/1982,
Christian,Sore,0.0,0.0,,
Herman,Vleminckx,0.0,0.0,9/8/1955,
Matias,Noremberg,0.0,0.0,,
Sebastian,Tatra,0.0,0.0,10/20/1981,
Johan,Lozie (Joannes),0.0,0.0,,t12324
Mauro,Marziotti,0.0,0.0,,
Jan,Vanvenckenray,0.0,0.0,,t2795
George,Christophe,0.0,0.0,,
Frederik,Delanghe,0.0,193.0,10/30/1971,
Ludwig,Horvath,0.0,0.0,6/16/1965,
Thomas,Artner,0.0,0.0,6/20/1963,t3902
Bjorn,De Greef,0.0,191.0,12/12/1978,t2795
Fernando,Borrero,0.0,200.0,12/15/1968,
Alain,Maréchal,0.0,0.0,3/10/1965,t18852
Hugo,Huybrechts,96.0,192.0,1/21/1945,
Ignacio,Ambrosini,0.0,0.0,,
Frederik,Deveylder,0.0,0.0,,
Michael,Mattes (Much) TOP 1000,0.0,0.0,,
Horacio,Dileo TOP 200,0.0,0.0,3/30/1963,
Bram,Van Ghelue,84.0,196.0,9/8/1980,t2694
Markus,Oels,0.0,0.0,,t4488
Agostina,Borgialli,0.0,0.0,1/30/1988,
Loïc,an de Pontseele,76.0,176.0,8/30/1993,
Gottfried,Rath,0.0,190.0,9/28/1984,t2629
Marcelo,De Stefano,0.0,0.0,11/11/1968,
Alexis,Lebedew,0.0,0.0,,
Dante,Fernandez,0.0,0.0,,
Kristof,Vroman,0.0,0.0,,
Liam,Sketcher,0.0,0.0,2/11/1983,t1960
Francisco,Otero,0.0,0.0,,
Julien,Vleminckx,0.0,0.0,,t22055
Lauren,Michelle Soderberg,0.0,0.0,,
Alejandro,Cardozo,0.0,0.0,,
Geert,Walravens TOP 1000,0.0,0.0,,t1484
Alain,Dardenne,0.0,0.0,5/22/1958,t2938
Luke,Reynolds TOP 1000,0.0,0.0,7/9/1985,t8429
Brecht,Van Kerckhove TOP 500,79.0,187.0,5/3/1976,
Jolien,Schuermans,0.0,0.0,,
Juan,Pablo Solis,0.0,0.0,,
Wim,Van de Ryse,0.0,0.0,,t12324
Frédéric,rvotte,0.0,0.0,9/25/1981,
Cole,Durant,95.0,198.0,11/8/1991,t7431
Julio,Arletta,0.0,0.0,,
Dieter,Verbeke,0.0,198.0,6/11/1977,t2431
Matias,Garay,0.0,0.0,11/12/1996,t2830
Gus,Cirillo,0.0,0.0,,t6268
Vital,Heynen TOP 100,0.0,191.0,6/12/1969,
Josh,Cowan,0.0,0.0,1/10/1993,t8248
Matthias,Delaere,0.0,0.0,,t12318
Steven,Wyns,0.0,0.0,6/13/1975,
Bram,Van den Hove,0.0,184.0,12/27/1992,
Kris,Tanghe TOP 1000,82.0,186.0,1/6/1973,t2787
Alicia,Huerta,0.0,0.0,,
Stijn,De Bie,0.0,0.0,,t19401
Antti,Veijalainen,0.0,0.0,,
